sku,units_per_case
1515090217,12
1515090317,12
1515090417,12
1515090517,12
1515090589,6
1515090617,12
1515090717,12
1515090789,6
1515090917,12
1515091017,12
1515091117,12
1515099817,12
1515099827,12
1515100027,12
1515100617,12
1515100717,12
1515100817,12
1515109817,12
1515109827,12
1515109917,12
1515119817,12
1515120217,12
1515129717,12
1515129817,12
1515139717,12
1515139817,12
1515139917,12
1515140114,6
1515148414,6
1515148514,6
1515148614,6
1515148714,6
1515148724,6
1515148756,6
1515148814,6
1515148824,6
1515148856,6
1515148914,6
1515148924,6
1515149114,6
1515149124,6
1515149214,6
1515149224,6
1515149314,6
1515149324,6
1515149356,6
1515149414,6
1515149424,6
1515149514,6
1515149524,6
1515149614,6
1515149624,6
1515168856,12
1515169156,6
1515178717,12
1515178735,12
1515200024,4
1515200324,4
1515200424,1
1515209614,4
1515209624,4
1515219626,12
1515238610,24
1515269924,4
1515270000,12
1515278217,12
1515278417,12
1515278517,12
1515278617,12
1515279117,12
1515279718,12
151529716,12
1515349114,6
1515671117,12
1515671217,12
151567NV94,6
151567NV97,6
1515770017,12
1515770027,12
1515770089,12
15157700WB,12
1515770117,12
1515770189,12
1515770217,12
1515770317,12
1515770417,12
1515770517,12
1515770617,12
1515770717,12
1515770817,12
1515770917,12
1515771017,12
1515771117,12
1515779717,12
1515779727,12
1515779827,12
1515779917,12
1515779927,12
1515779981,12
1515878617,12
1515878917,12
1515879181,12
1515879217,12
1515879281,12
1515909727,12
1515959727,12
1516079927,12
1517470027,12
1517479917,12
15199127,12
15206127,12
15313127,12
15399127,12
15901127,12
15901137,12
15903127,12
167APP3PK,1
167NUANCE2,1
16BDBGIFPK,1
1BTLGIFTBX,1
1NV1000,1
1NV1001,1
1NV1002,1
200OLVOL23,1
200OLVOL24,1
2012WSWOM,1
2013ACMAG,1
2013RRRWOM,1
2014RRRMAG,1
2014RRRWOM,1
2015WSMAG,1
2016GIFT,1
2016SPRMAG,1
2017WSMAG,1
2127999,12
2137103,12
2137110,12
2137115,12
2137193,12
2137206,12
2137207,12
2137313,12
2137314,12
2137903,12
2147101,12
2147104,12
2147111,12
2147207,12
2147312,12
2157111,12
2187202,12
2187301,12
2197101,12
2197111,12
2197202,12
2197301,12
2197401,12
21SPRNGDUO,1
2207101,12
2207111,12
2207202,12
2207302,12
2217111,12
2BTLGIFTBX,1
2P12AC13AV,1
2P19CSDUO,1
2P2012RR,1
2P2012WOM,1
2P2017AC,1
2P2017HC,1
2P2017RRR,1
2P2018CH,1
2P2018CHPN,1
2P2018MT,1
2P2023RO,1
2P20CDDUO,1
2P21DHDUO,1
2P21TOCDUO,1
2PES,1
2PGIFT1617,1
2PK20CDDUO,1
2PROSE2019,1
2PRR12WOM,1
2PRR14WOM,1
2PRRRWB,1
2PRRWOM,1
2PWCCVT,1
2WOODBOX,1
3BKFTGFTBX,1
3BTLGFTBX,1
3BTLGIFTBX,1
3BTLYGFTBX,1
3P12TOESRR,1
3P13ACESRR,1
3P13CAAVRR,1
3P14ACTORR,1
3P14CAAVRR,1
3P171819,1
3P18PN,1
3P19TTRIO,1
3P2013WOM,1
3P2016BDB,1
3P2017AV,1
3P2017BBQR,1
3P2017CPN,1
3P2017MT,1
3P2017RES3,1
3P2017RR,1
3P2017RRR,1
3P2017WB,1
3P2018AC,1
3P2018APP,1
3P2018BBQ,1
3P2018CNCH,1
3P2018RRCH,1
3P2018RRR,1
3P2018TO,1
3P2018TOD,1
3P2018WS,1
3P2020ROSE,1
3P20EDTRIO,1
3P20ESTRIO,1
3P20EXTRIO,1
3P20TTRIO,1
3P20WCTRIO,1
3P21DATRIO,1
3P21ZDUO,1
3PAC131415,1
3PAC141516,1
3PACVERT,1
3PAV121314,1
3PAV141516,1
3PAVA2017,1
3PAW151617,1
3PCA141516,1
3PCA161718,1
3PCARNVERT,1
3PCH131415,1
3PCHRS,1
3PK20TTRIO,1
3PK21TTRIO,1
3PK21ZDUO,1
3PK22ZDUO,1
3PLO171819,1
3PRCH1917,1
3PRR141516,1
3PRRE,1
3PTO141516,1
3PVT1719R,1
3PWB161718,1
